Id	Name	   Country	Description	Profile Picture	Skills	Jobs Completed	Yrs of Experience	Rating	Price per Hr	Availability	LinkedIn Profile	Portfolio	Tools
22	Carlos Mendes 22	USA	Experienced Python, Data Science specialist.	https://randomuser.me/api/portraits/men/85.jpg	Python, Data Science	177	6	4.6	62	Busy	https://linkedin.com/in/freelancer22	https://portfolio.com/freelancer22	Final Cut Pro, Premiere Pro
23	Elena Rossi 23	France	Experienced Project Management, Agile specialist.	https://randomuser.me/api/portraits/men/49.jpg	Graphic Design, Photoshop	149	2	3.6	105	Part-time	https://linkedin.com/in/freelancer23	https://portfolio.com/freelancer23	AWS, Azure
24	Carlos Mendes 24	South Africa	Experienced Python, Data Science specialist.	https://randomuser.me/api/portraits/men/38.jpg	Marketing, Branding	87	11	4	131	Part-time	https://linkedin.com/in/freelancer24	https://portfolio.com/freelancer24	Docker, Kubernetes
25	James Smith 25	France	Experienced Cloud Computing, AWS specialist.	https://randomuser.me/api/portraits/men/92.jpg	Blockchain, Smart Contracts	182	17	3.6	146	Busy	https://linkedin.com/in/freelancer25	https://portfolio.com/freelancer25	TensorFlow, PyTorch
26	Carlos Mendes 26	UK	Experienced Machine Learning, AI specialist.	https://randomuser.me/api/portraits/men/37.jpg	Graphic Design, Photoshop	101	13	3.7	64	Available	https://linkedin.com/in/freelancer26	https://portfolio.com/freelancer26	Node.js, Express
27	Elena Rossi 27	Japan	Experienced Project Management, Agile specialist.	https://randomuser.me/api/portraits/men/10.jpg	Web Development, JavaScript	63	13	3.6	109	Available	https://linkedin.com/in/freelancer27	https://portfolio.com/freelancer27	Google Analytics, SEMrush
28	Hiroshi Tanaka 28	South Africa	Experienced Cybersecurity, Ethical Hacking specialist.	https://randomuser.me/api/portraits/men/92.jpg	Web Development, JavaScript	134	10	3.6	83	Busy	https://linkedin.com/in/freelancer28	https://portfolio.com/freelancer28	VS Code, PyCharm
29	Alice Johnson 29	USA	Experienced Marketing, Branding specialist.	https://randomuser.me/api/portraits/men/25.jpg	Blockchain, Smart Contracts	77	8	3.9	70	Busy	https://linkedin.com/in/freelancer29	https://portfolio.com/freelancer29	TensorFlow, PyTorch
30	Alice Johnson 30	Canada	Experienced Graphic Design, Photoshop specialist.	https://randomuser.me/api/portraits/men/64.jpg	Machine Learning, AI	21	7	4.2	97	Busy	https://linkedin.com/in/freelancer30	https://portfolio.com/freelancer30	AWS, Azure
31	Mikhail Ivanov 31	Brazil	Experienced Machine Learning, AI specialist.	https://randomuser.me/api/portraits/men/59.jpg	Graphic Design, Photoshop	19	18	3.8	113	Busy	https://linkedin.com/in/freelancer31	https://portfolio.com/freelancer31	TensorFlow, PyTorch
32	Elena Rossi 32	France	Experienced Graphic Design, Photoshop specialist.	https://randomuser.me/api/portraits/men/41.jpg	Content Writing, SEO	102	11	4	92	Busy	https://linkedin.com/in/freelancer32	https://portfolio.com/freelancer32	Final Cut Pro, Premiere Pro
33	Rahul Mehta 33	South Africa	Experienced Marketing, Branding specialist.	https://randomuser.me/api/portraits/men/88.jpg	Marketing, Branding	91	10	3.7	45	Part-time	https://linkedin.com/in/freelancer33	https://portfolio.com/freelancer33	VS Code, PyCharm
34	Chen Wei 34	France	Experienced Project Management, Agile specialist.	https://randomuser.me/api/portraits/men/7.jpg	Cybersecurity, Ethical Hacking	57	1	4	63	Part-time	https://linkedin.com/in/freelancer34	https://portfolio.com/freelancer34	React, Angular
35	Fatima Yusuf 35	UK	Experienced Graphic Design, Photoshop specialist.	https://randomuser.me/api/portraits/men/5.jpg	Cloud Computing, AWS	63	3	3.5	73	Busy	https://linkedin.com/in/freelancer35	https://portfolio.com/freelancer35	VS Code, PyCharm
36	Rahul Mehta 36	Canada	Experienced Python, Data Science specialist.	https://randomuser.me/api/portraits/men/60.jpg	Project Management, Agile	13	17	3.9	31	Available	https://linkedin.com/in/freelancer36	https://portfolio.com/freelancer36	Google Analytics, SEMrush
37	Rahul Mehta 37	Brazil	Experienced Cybersecurity, Ethical Hacking specialist.	https://randomuser.me/api/portraits/men/97.jpg	Cybersecurity, Ethical Hacking	17	18	4.9	129	Part-time	https://linkedin.com/in/freelancer37	https://portfolio.com/freelancer37	Final Cut Pro, Premiere Pro
38	Mikhail Ivanov 38	Canada	Experienced Content Writing, SEO specialist.	https://randomuser.me/api/portraits/men/87.jpg	Python, Data Science	125	19	4.8	31	Available	https://linkedin.com/in/freelancer38	https://portfolio.com/freelancer38	TensorFlow, PyTorch
39	Mikhail Ivanov 39	Japan	Experienced Graphic Design, Photoshop specialist.	https://randomuser.me/api/portraits/men/79.jpg	Blockchain, Smart Contracts	91	13	4.4	14	Busy	https://linkedin.com/in/freelancer39	https://portfolio.com/freelancer39	Figma, Sketch
40	Hiroshi Tanaka 40	USA	Experienced Content Writing, SEO specialist.	https://randomuser.me/api/portraits/men/84.jpg	Graphic Design, Photoshop	138	14	4.2	77	Part-time	https://linkedin.com/in/freelancer40	https://portfolio.com/freelancer40	VS Code, PyCharm
41	Sophie Dubois 41	France	Experienced Project Management, Agile specialist.	https://randomuser.me/api/portraits/men/42.jpg	Marketing, Branding	177	18	4	55	Available	https://linkedin.com/in/freelancer41	https://portfolio.com/freelancer41	Google Analytics, SEMrush
42	Rahul Mehta 42	France	Experienced Web Development, JavaScript specialist.	https://randomuser.me/api/portraits/men/6.jpg	Project Management, Agile	111	16	4.8	69	Busy	https://linkedin.com/in/freelancer42	https://portfolio.com/freelancer42	React, Angular
43	Sophie Dubois 43	Brazil	Experienced Cloud Computing, AWS specialist.	https://randomuser.me/api/portraits/men/82.jpg	Python, Data Science	33	8	3.9	125	Busy	https://linkedin.com/in/freelancer43	https://portfolio.com/freelancer43	VS Code, PyCharm
44	Alice Johnson 44	India	Experienced Project Management, Agile specialist.	https://randomuser.me/api/portraits/men/31.jpg	Machine Learning, AI	140	7	3.9	138	Available	https://linkedin.com/in/freelancer44	https://portfolio.com/freelancer44	Node.js, Express
45	Carlos Mendes 45	USA	Experienced Web Development, JavaScript specialist.	https://randomuser.me/api/portraits/men/83.jpg	Machine Learning, AI	30	17	4	19	Available	https://linkedin.com/in/freelancer45	https://portfolio.com/freelancer45	React, Angular
46	Hiroshi Tanaka 46	USA	Experienced Cloud Computing, AWS specialist.	https://randomuser.me/api/portraits/men/64.jpg	Cloud Computing, AWS	109	11	4.2	27	Busy	https://linkedin.com/in/freelancer46	https://portfolio.com/freelancer46	Final Cut Pro, Premiere Pro
47	Chen Wei 47	India	Experienced Graphic Design, Photoshop specialist.	https://randomuser.me/api/portraits/men/65.jpg	Graphic Design, Photoshop	141	17	3.7	62	Busy	https://linkedin.com/in/freelancer47	https://portfolio.com/freelancer47	Adobe Illustrator, Canva
48	Chen Wei 48	Germany	Experienced Graphic Design, Photoshop specialist.	https://randomuser.me/api/portraits/men/36.jpg	Machine Learning, AI	14	10	5	97	Part-time	https://linkedin.com/in/freelancer48	https://portfolio.com/freelancer48	Google Analytics, SEMrush
49	Sophie Dubois 49	Brazil	Experienced Cloud Computing, AWS specialist.	https://randomuser.me/api/portraits/men/80.jpg	Marketing, Branding	87	19	5	143	Available	https://linkedin.com/in/freelancer49	https://portfolio.com/freelancer49	Docker, Kubernetes
50	Sophie Dubois 50	USA	Experienced Cloud Computing, AWS specialist.	https://randomuser.me/api/portraits/men/76.jpg	Machine Learning, AI	24	13	4.9	44	Available	https://linkedin.com/in/freelancer50	https://portfolio.com/freelancer50	React, Angular
51	Carlos Mendes 51	Brazil	Experienced Project Management, Agile specialist.	https://randomuser.me/api/portraits/men/14.jpg	Cloud Computing, AWS	86	14	4.1	117	Part-time	https://linkedin.com/in/freelancer51	https://portfolio.com/freelancer51	Google Analytics, SEMrush
52	Hiroshi Tanaka 52	Australia	Experienced Project Management, Agile specialist.	https://randomuser.me/api/portraits/men/60.jpg	Marketing, Branding	48	12	4.3	147	Busy	https://linkedin.com/in/freelancer52	https://portfolio.com/freelancer52	Figma, Sketch
53	James Smith 53	USA	Experienced Cybersecurity, Ethical Hacking specialist.	https://randomuser.me/api/portraits/men/92.jpg	Content Writing, SEO	62	5	3.9	35	Busy	https://linkedin.com/in/freelancer53	https://portfolio.com/freelancer53	Figma, Sketch
54	Hiroshi Tanaka 54	Canada	Experienced Machine Learning, AI specialist.	https://randomuser.me/api/portraits/men/89.jpg	Blockchain, Smart Contracts	6	4	3.6	116	Busy	https://linkedin.com/in/freelancer54	https://portfolio.com/freelancer54	React, Angular
55	Fatima Yusuf 55	Germany	Experienced Marketing, Branding specialist.	https://randomuser.me/api/portraits/men/57.jpg	Cybersecurity, Ethical Hacking	118	1	4.7	57	Available	https://linkedin.com/in/freelancer55	https://portfolio.com/freelancer55	AWS, Azure
56	Hiroshi Tanaka 56	Australia	Experienced Cloud Computing, AWS specialist.	https://randomuser.me/api/portraits/men/62.jpg	Cybersecurity, Ethical Hacking	90	20	4	112	Available	https://linkedin.com/in/freelancer56	https://portfolio.com/freelancer56	Adobe Illustrator, Canva
57	James Smith 57	France	Experienced Machine Learning, AI specialist.	https://randomuser.me/api/portraits/men/66.jpg	Blockchain, Smart Contracts	115	11	3.9	15	Part-time	https://linkedin.com/in/freelancer57	https://portfolio.com/freelancer57	React, Angular
58	Rahul Mehta 58	Japan	Experienced Blockchain, Smart Contracts specialist.	https://randomuser.me/api/portraits/men/36.jpg	Web Development, JavaScript	70	14	3.8	111	Busy	https://linkedin.com/in/freelancer58	https://portfolio.com/freelancer58	Adobe Illustrator, Canva
59	Sophie Dubois 59	USA	Experienced Project Management, Agile specialist.	https://randomuser.me/api/portraits/men/50.jpg	Web Development, JavaScript	193	14	4.8	142	Busy	https://linkedin.com/in/freelancer59	https://portfolio.com/freelancer59	React, Angular
60	Elena Rossi 60	Australia	Experienced Content Writing, SEO specialist.	https://randomuser.me/api/portraits/men/19.jpg	Cloud Computing, AWS	176	10	4.5	60	Available	https://linkedin.com/in/freelancer60	https://portfolio.com/freelancer60	TensorFlow, PyTorch
61	James Smith 61	USA	Experienced Machine Learning, AI specialist.	https://randomuser.me/api/portraits/men/98.jpg	Machine Learning, AI	108	14	4.2	80	Available	https://linkedin.com/in/freelancer61	https://portfolio.com/freelancer61	Docker, Kubernetes
62	James Smith 62	France	Experienced Blockchain, Smart Contracts specialist.	https://randomuser.me/api/portraits/men/31.jpg	Python, Data Science	148	1	3.6	64	Busy	https://linkedin.com/in/freelancer62	https://portfolio.com/freelancer62	Final Cut Pro, Premiere Pro
63	James Smith 63	USA	Experienced Web Development, JavaScript specialist.	https://randomuser.me/api/portraits/men/13.jpg	Machine Learning, AI	130	14	4.7	71	Part-time	https://linkedin.com/in/freelancer63	https://portfolio.com/freelancer63	AWS, Azure
64	Rahul Mehta 64	Canada	Experienced Graphic Design, Photoshop specialist.	https://randomuser.me/api/portraits/men/3.jpg	Machine Learning, AI	74	3	4.6	68	Part-time	https://linkedin.com/in/freelancer64	https://portfolio.com/freelancer64	Docker, Kubernetes
65	Fatima Yusuf 65	Australia	Experienced Machine Learning, AI specialist.	https://randomuser.me/api/portraits/men/89.jpg	Cybersecurity, Ethical Hacking	5	19	3.8	82	Busy	https://linkedin.com/in/freelancer65	https://portfolio.com/freelancer65	Google Analytics, SEMrush
66	Elena Rossi 66	Australia	Experienced Content Writing, SEO specialist.	https://randomuser.me/api/portraits/men/19.jpg	Project Management, Agile	194	19	3.5	135	Busy	https://linkedin.com/in/freelancer66	https://portfolio.com/freelancer66	Final Cut Pro, Premiere Pro
67	Mikhail Ivanov 67	Japan	Experienced Marketing, Branding specialist.	https://randomuser.me/api/portraits/men/35.jpg	Cloud Computing, AWS	150	11	4.5	128	Part-time	https://linkedin.com/in/freelancer67	https://portfolio.com/freelancer67	Docker, Kubernetes
68	Hiroshi Tanaka 68	South Africa	Experienced Marketing, Branding specialist.	https://randomuser.me/api/portraits/men/64.jpg	Cybersecurity, Ethical Hacking	96	20	4	138	Busy	https://linkedin.com/in/freelancer68	https://portfolio.com/freelancer68	Docker, Kubernetes
69	Sophie Dubois 69	Japan	Experienced Python, Data Science specialist.	https://randomuser.me/api/portraits/men/63.jpg	Python, Data Science	128	14	4.8	97	Busy	https://linkedin.com/in/freelancer69	https://portfolio.com/freelancer69	React, Angular
70	Elena Rossi 70	Canada	Experienced Machine Learning, AI specialist.	https://randomuser.me/api/portraits/men/62.jpg	Marketing, Branding	159	10	4.2	59	Available	https://linkedin.com/in/freelancer70	https://portfolio.com/freelancer70	Final Cut Pro, Premiere Pro
71	Hiroshi Tanaka 71	Canada	Experienced Python, Data Science specialist.	https://randomuser.me/api/portraits/men/97.jpg	Project Management, Agile	88	15	4.6	107	Busy	https://linkedin.com/in/freelancer71	https://portfolio.com/freelancer71	VS Code, PyCharm
72	Chen Wei 72	India	Experienced Content Writing, SEO specialist.	https://randomuser.me/api/portraits/men/17.jpg	Web Development, JavaScript	74	15	4.2	145	Busy	https://linkedin.com/in/freelancer72	https://portfolio.com/freelancer72	Adobe Illustrator, Canva
73	Sophie Dubois 73	Brazil	Experienced Python, Data Science specialist.	https://randomuser.me/api/portraits/men/34.jpg	Python, Data Science	94	9	3.9	43	Busy	https://linkedin.com/in/freelancer73	https://portfolio.com/freelancer73	Docker, Kubernetes
74	Carlos Mendes 74	Australia	Experienced Content Writing, SEO specialist.	https://randomuser.me/api/portraits/men/9.jpg	Marketing, Branding	192	13	4.3	77	Available	https://linkedin.com/in/freelancer74	https://portfolio.com/freelancer74	Google Analytics, SEMrush
75	Chen Wei 75	France	Experienced Machine Learning, AI specialist.	https://randomuser.me/api/portraits/men/98.jpg	Marketing, Branding	18	13	3.7	103	Busy	https://linkedin.com/in/freelancer75	https://portfolio.com/freelancer75	AWS, Azure
76	Mikhail Ivanov 76	Brazil	Experienced Project Management, Agile specialist.	https://randomuser.me/api/portraits/men/63.jpg	Marketing, Branding	24	1	4.7	146	Part-time	https://linkedin.com/in/freelancer76	https://portfolio.com/freelancer76	VS Code, PyCharm
77	Rahul Mehta 77	India	Experienced Content Writing, SEO specialist.	https://randomuser.me/api/portraits/men/50.jpg	Cloud Computing, AWS	140	7	3.6	136	Busy	https://linkedin.com/in/freelancer77	https://portfolio.com/freelancer77	AWS, Azure
78	Mikhail Ivanov 78	South Africa	Experienced Marketing, Branding specialist.	https://randomuser.me/api/portraits/men/99.jpg	Content Writing, SEO	133	19	3.7	122	Available	https://linkedin.com/in/freelancer78	https://portfolio.com/freelancer78	AWS, Azure
79	Mikhail Ivanov 79	Germany	Experienced Cloud Computing, AWS specialist.	https://randomuser.me/api/portraits/men/48.jpg	Web Development, JavaScript	8	18	4.4	128	Available	https://linkedin.com/in/freelancer79	https://portfolio.com/freelancer79	Adobe Illustrator, Canva
80	Sophie Dubois 80	South Africa	Experienced Cloud Computing, AWS specialist.	https://randomuser.me/api/portraits/men/67.jpg	Blockchain, Smart Contracts	6	2	4.3	137	Busy	https://linkedin.com/in/freelancer80	https://portfolio.com/freelancer80	VS Code, PyCharm
81	Chen Wei 81	Germany	Experienced Blockchain, Smart Contracts specialist.	https://randomuser.me/api/portraits/men/28.jpg	Project Management, Agile	79	17	3.9	126	Busy	https://linkedin.com/in/freelancer81	https://portfolio.com/freelancer81	Node.js, Express
82	Elena Rossi 82	South Africa	Experienced Graphic Design, Photoshop specialist.	https://randomuser.me/api/portraits/men/98.jpg	Graphic Design, Photoshop	197	9	4.2	10	Part-time	https://linkedin.com/in/freelancer82	https://portfolio.com/freelancer82	Google Analytics, SEMrush
83	Carlos Mendes 83	Australia	Experienced Marketing, Branding specialist.	https://randomuser.me/api/portraits/men/8.jpg	Project Management, Agile	118	17	3.6	107	Busy	https://linkedin.com/in/freelancer83	https://portfolio.com/freelancer83	Docker, Kubernetes
84	James Smith 84	UK	Experienced Project Management, Agile specialist.	https://randomuser.me/api/portraits/men/19.jpg	Cloud Computing, AWS	9	1	4.8	125	Part-time	https://linkedin.com/in/freelancer84	https://portfolio.com/freelancer84	Node.js, Express
85	Carlos Mendes 85	India	Experienced Blockchain, Smart Contracts specialist.	https://randomuser.me/api/portraits/men/75.jpg	Content Writing, SEO	118	4	3.9	55	Busy	https://linkedin.com/in/freelancer85	https://portfolio.com/freelancer85	AWS, Azure
86	Rahul Mehta 86	France	Experienced Marketing, Branding specialist.	https://randomuser.me/api/portraits/men/89.jpg	Web Development, JavaScript	189	13	4.9	148	Busy	https://linkedin.com/in/freelancer86	https://portfolio.com/freelancer86	Adobe Illustrator, Canva
87	Chen Wei 87	Brazil	Experienced Blockchain, Smart Contracts specialist.	https://randomuser.me/api/portraits/men/58.jpg	Content Writing, SEO	116	9	4.1	60	Part-time	https://linkedin.com/in/freelancer87	https://portfolio.com/freelancer87	Docker, Kubernetes
88	Alice Johnson 88	Canada	Experienced Machine Learning, AI specialist.	https://randomuser.me/api/portraits/men/39.jpg	Content Writing, SEO	56	16	3.6	15	Available	https://linkedin.com/in/freelancer88	https://portfolio.com/freelancer88	TensorFlow, PyTorch
89	Fatima Yusuf 89	USA	Experienced Cybersecurity, Ethical Hacking specialist.	https://randomuser.me/api/portraits/men/44.jpg	Content Writing, SEO	73	1	4.7	53	Available	https://linkedin.com/in/freelancer89	https://portfolio.com/freelancer89	Node.js, Express
90	Rahul Mehta 90	South Africa	Experienced Web Development, JavaScript specialist.	https://randomuser.me/api/portraits/men/18.jpg	Machine Learning, AI	15	10	4.8	89	Available	https://linkedin.com/in/freelancer90	https://portfolio.com/freelancer90	TensorFlow, PyTorch
91	Elena Rossi 91	Australia	Experienced Python, Data Science specialist.	https://randomuser.me/api/portraits/men/52.jpg	Web Development, JavaScript	96	14	4.5	132	Part-time	https://linkedin.com/in/freelancer91	https://portfolio.com/freelancer91	Node.js, Express
92	Carlos Mendes 92	Brazil	Experienced Blockchain, Smart Contracts specialist.	https://randomuser.me/api/portraits/men/36.jpg	Cloud Computing, AWS	109	10	4.3	148	Busy	https://linkedin.com/in/freelancer92	https://portfolio.com/freelancer92	VS Code, PyCharm
93	Rahul Mehta 93	Japan	Experienced Content Writing, SEO specialist.	https://randomuser.me/api/portraits/men/74.jpg	Graphic Design, Photoshop	125	18	4.1	26	Part-time	https://linkedin.com/in/freelancer93	https://portfolio.com/freelancer93	Figma, Sketch
94	Chen Wei 94	Australia	Experienced Python, Data Science specialist.	https://randomuser.me/api/portraits/men/50.jpg	Marketing, Branding	109	8	4.9	146	Available	https://linkedin.com/in/freelancer94	https://portfolio.com/freelancer94	VS Code, PyCharm
95	Sophie Dubois 95	India	Experienced Web Development, JavaScript specialist.	https://randomuser.me/api/portraits/men/47.jpg	Content Writing, SEO	169	7	4.1	36	Available	https://linkedin.com/in/freelancer95	https://portfolio.com/freelancer95	Final Cut Pro, Premiere Pro
96	Sophie Dubois 96	Brazil	Experienced Web Development, JavaScript specialist.	https://randomuser.me/api/portraits/men/84.jpg	Marketing, Branding	170	13	4.2	45	Available	https://linkedin.com/in/freelancer96	https://portfolio.com/freelancer96	Docker, Kubernetes
97	James Smith 97	Germany	Experienced Project Management, Agile specialist.	https://randomuser.me/api/portraits/men/85.jpg	Cloud Computing, AWS	106	2	4.4	117	Part-time	https://linkedin.com/in/freelancer97	https://portfolio.com/freelancer97	Node.js, Express
98	Hiroshi Tanaka 98	USA	Experienced Blockchain, Smart Contracts specialist.	https://randomuser.me/api/portraits/men/27.jpg	Web Development, JavaScript	63	10	4.1	12	Part-time	https://linkedin.com/in/freelancer98	https://portfolio.com/freelancer98	Google Analytics, SEMrush
99	Rahul Mehta 99	UK	Experienced Machine Learning, AI specialist.	https://randomuser.me/api/portraits/men/11.jpg	Cloud Computing, AWS	119	5	4.2	93	Busy	https://linkedin.com/in/freelancer99	https://portfolio.com/freelancer99	React, Angular
100	Hiroshi Tanaka 100	Brazil	Experienced Content Writing, SEO specialist.	https://randomuser.me/api/portraits/men/95.jpg	Cybersecurity, Ethical Hacking	48	16	4.7	140	Part-time	https://linkedin.com/in/freelancer100	https://portfolio.com/freelancer100	AWS, Azure
101	Elena Rossi 101	Japan	Experienced Web Development, JavaScript specialist.	https://randomuser.me/api/portraits/men/52.jpg	Machine Learning, AI	49	12	3.7	138	Available	https://linkedin.com/in/freelancer101	https://portfolio.com/freelancer101	Node.js, Express
102	James Smith 102	Brazil	Experienced Cloud Computing, AWS specialist.	https://randomuser.me/api/portraits/men/50.jpg	Project Management, Agile	82	8	4.9	111	Available	https://linkedin.com/in/freelancer102	https://portfolio.com/freelancer102	React, Angular
103	Mikhail Ivanov 103	Canada	Experienced Cybersecurity, Ethical Hacking specialist.	https://randomuser.me/api/portraits/men/68.jpg	Project Management, Agile	125	8	4	51	Available	https://linkedin.com/in/freelancer103	https://portfolio.com/freelancer103	Node.js, Express
104	Chen Wei 104	France	Experienced Content Writing, SEO specialist.	https://randomuser.me/api/portraits/men/20.jpg	Python, Data Science	31	9	3.8	17	Part-time	https://linkedin.com/in/freelancer104	https://portfolio.com/freelancer104	TensorFlow, PyTorch
105	Mikhail Ivanov 105	South Africa	Experienced Web Development, JavaScript specialist.	https://randomuser.me/api/portraits/men/87.jpg	Python, Data Science	141	19	3.6	138	Part-time	https://linkedin.com/in/freelancer105	https://portfolio.com/freelancer105	AWS, Azure
106	Elena Rossi 106	France	Experienced Python, Data Science specialist.	https://randomuser.me/api/portraits/men/38.jpg	Web Development, JavaScript	27	5	3.7	103	Available	https://linkedin.com/in/freelancer106	https://portfolio.com/freelancer106	Adobe Illustrator, Canva
107	Rahul Mehta 107	France	Experienced Cybersecurity, Ethical Hacking specialist.	https://randomuser.me/api/portraits/men/28.jpg	Cloud Computing, AWS	25	9	4.7	32	Part-time	https://linkedin.com/in/freelancer107	https://portfolio.com/freelancer107	Node.js, Express
108	Fatima Yusuf 108	USA	Experienced Blockchain, Smart Contracts specialist.	https://randomuser.me/api/portraits/men/23.jpg	Graphic Design, Photoshop	97	19	4.9	22	Available	https://linkedin.com/in/freelancer108	https://portfolio.com/freelancer108	Adobe Illustrator, Canva
109	Chen Wei 109	India	Experienced Machine Learning, AI specialist.	https://randomuser.me/api/portraits/men/71.jpg	Machine Learning, AI	107	12	4.2	69	Available	https://linkedin.com/in/freelancer109	https://portfolio.com/freelancer109	Node.js, Express
